일자,2차전지,CJ CGV,HD현대중공업,LNG,강관업체,건강보험,건설,건설 중소형,골프,금융,금융결제원,금융지주,기계,농업,단열재,대출,두산로보틱스,디스플레이,롯데건설,반도체,방위산업/전쟁 및 테러,벤처,보툴리눔,보험,부동산,비트코인,"석유화학, 정유",아파트,업,우주항공산업,위스키,의무보유등록,이재명,인공지능,자동차 대표주,재개발,전구체,전기차,전산장애,정보보호,주담대,주택공급,줄기세포,챗봇,철강,탄소포집,토스뱅크,토큰증권,폐배터리,항공기부품,해상풍력,해외주식,화천기계,대표주,조선,폴더블폰
09/11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
09/12,97.34505911655408,102.82542764652081,98.25720974068577,97.3881112633012,97.50711740955619,98.38888888888889,97.88081317831211,98.0804429112897,98.44217428334477,98.65555481905936,99.05997715279595,99.15528452792586,99.18196523557637,99.90794344721247,96.18833799570253,99.44775304346112,97.44940852557775,100.6058808222789,99.04650163733757,99.74049284600324,97.95757822928391,99.59819159312208,102.11111350707004,99.32967865636316,99.15550500826771,99.16088927857999,99.5073707088372,99.67231843825263,99.80561300399023,97.67012854616655,100.13354533782217,99.21659994093768,100.36990213293038,98.88551588980403,100.31061191589801,99.5595308526751,96.22500238902994,100.02001790212425,98.10904980408696,99.2465102194696,99.87179487179488,99.2029608298425,98.05862659022533,90.53523116439676,98.75414681910642,95.96127975747196,98.94751786710228,99.30996374210808,98.14794282130067,99.98361641182632,98.77743515453129,98.61963190184049,99.52640581469097,99.57627118644068,98.80952380952381,99.79838709677419
09/13,95.39873806180236,100.24080149956237,97.75970637795193,97.80457322676027,95.28648957046634,98.33333333333333,98.91584485917873,99.05523548591775,98.60029558164678,101.00375405183274,100.62297540163516,100.7781869036127,98.17073834136096,100.20282457121792,95.29735318997503,99.08298449841489,96.53675704384762,101.07489614622926,98.15668125304353,100.41604080585842,97.91867652472108,100.35130805854405,102.15290235473427,101.38840019078053,97.92919312118106,93.50429970182947,96.80896090183562,99.80241641806776,99.16770284731648,97.43867700255134,99.74441546751295,99.43251755639147,94.04199680324218,98.40921891484592,101.3279947274272,99.23163017898217,95.41536109458126,100.86257753515314,96.99897645835446,96.95222370363723,99.35897435897436,98.99153959001006,97.48316963394515,90.41713890003842,99.6874940844765,95.06803602592481,100.35072453340912,100.34990526861046,98.70008464774004,98.12201827565245,96.5663684242483,100.0,101.06271768283088,100.14124293785312,99.28571428571429,105.04032258064515
09/14,98.15803230728007,100.57057853774157,97.8120745344367,98.50332099057228,98.47069895247039,99.66666666666667,100.21657531840108,100.29890819880656,98.6876508002473,102.18493035690956,101.19369979483797,101.0126148039125,95.60213523554708,99.74287373064607,98.48689149565051,99.16861266360985,97.48058649961071,104.7817682314311,97.84435241269792,101.89181485929129,99.4276746838412,101.09609855761421,103.70631492156596,102.18488942777333,99.20048322779462,96.6081309113455,97.94357123802585,99.65165577079823,100.9212597967009,98.86810179413841,100.69151366727107,99.83753058807658,94.24589045527641,99.35500854394094,101.93912498001919,100.42243903435606,98.29590137691868,101.52264243998653,98.66061886501973,98.01616980819247,98.58974358974359,98.60343915167935,98.45168080098996,90.8224996449907,100.37637871766587,98.297042904557,100.20482685673086,100.98318401554064,98.55566532680923,97.690852874914,98.65455100114266,99.079754601227,102.494386488644,101.27118644067797,99.40476190476191,105.14112903225808
09/15,99.475024645959,100.97647012854279,99.14777720849676,99.87776843323253,100.56985650126727,102.33333333333334,101.5484071689122,102.02593702276357,99.38885694253709,104.62744393059393,103.88843123547838,103.09667238093967,96.32062944654743,100.30207804130895,97.10722239479071,99.04137903522306,98.31279975556667,104.71872986258275,100.0266135941196,102.2679257917072,99.72944606374014,102.89856207968853,104.29975659180147,104.01221161630897,99.288802959557,104.20410088096972,97.29987534609586,99.87036240459737,102.11199710527421,99.56519359271901,101.145772719903,100.92089477224239,93.83976501212135,100.05637592456989,103.12620498623697,100.97430961104543,97.36262190999123,102.88816664650832,98.03869147442211,97.66838324124447,99.74358974358975,99.74305380326805,97.7855714932082,89.26527577065865,103.45336972803096,96.8267018193537,103.19972771209697,102.18139657974214,99.50714009201981,98.51516134510454,97.7977112127477,100.920245398773,102.00264855352489,101.69491525423729,101.66666666666666,108.26612903225808
09/18,99.6792824759707,101.5333872290072,98.86910892197868,98.87757651210862,101.08385143221537,132.77777777777777,101.24969501524426,103.27265604016776,99.2427818292978,104.26396645933751,103.42838142310259,102.46542776000463,97.1385997953119,100.43770036178591,97.117046923079,99.21159527454081,97.8669041036097,104.14726608528105,101.43867798362407,99.66364280608929,98.61307630133346,102.84632687930322,106.60206141208846,103.56663915053463,99.20794175853342,100.9177965506236,99.29828797511887,101.5030521297192,100.87811254220658,98.71148134914678,100.20892350299906,101.46698870124105,108.61639649249348,99.45229066356565,102.05180799646708,100.48874866128821,97.19447418191301,102.0449167822181,96.27022513758567,99.52596746190872,100.0,99.26621347039271,97.67081107376974,89.38599466760571,102.93524305198298,96.71015982592345,102.58019827412559,102.05922917979271,98.9083428122903,97.7595466226534,99.1334935915066,100.920245398773,102.18712411501602,99.15254237288136,101.07142857142857,106.25
09/19,97.88827586498249,100.69899081444811,98.88377298298725,101.80697990266223,98.07221861238153,172.5,101.13888706710871,103.62344010373154,98.17559011677317,105.88046144131336,102.46501223819135,102.61123233321314,98.18609694327485,99.80015482668064,96.41971142480472,99.22653098038339,99.37211911289762,102.93946420607556,101.10781695115405,99.1962520932896,98.14457718159902,102.0252382016881,109.21964040884289,103.43039304781504,99.02586492463874,101.88453712044587,99.74162952038971,101.93772519042071,99.28226086674351,97.97261986607285,99.43502656969352,100.80709522356773,105.2801102307446,99.34496384707046,102.3411795071851,101.04600279101841,96.34369601689305,101.99186477100615,96.43353694968778,99.69253175519603,99.1025641025641,98.70450031244225,97.01106601964796,92.12295003150277,103.78705556229737,95.84163885387443,101.85373172292901,102.99979665063388,102.50949381250516,97.46889676434172,100.7126603729392,100.76687116564418,101.34820755668676,98.58757062146893,100.83333333333333,105.14112903225808
09/20,99.63547028425546,99.59134513779527,97.28179201048724,98.93340829265699,101.39855994283545,157.22222222222223,100.49674165043238,103.45712001220677,103.06030758810476,104.58142945486057,103.36971206688716,102.89024811315363,98.63070585780291,99.55674388567182,100.23756496254639,98.72279652096726,96.85651276813944,102.85100392518605,101.52694920561328,98.79922094308131,97.86991830782566,101.5661609639058,106.1241920627497,104.13491784578251,97.60125441530462,111.09041435732925,99.57077596319964,101.49510655952272,98.62085905207238,97.51433044028572,98.79141526141937,99.9148677586576,107.60839914667886,97.30862360621919,104.7366369023384,100.20381038688146,99.93131614144647,104.3055058926535,96.83309177490462,99.90765973062493,98.07692307692307,97.80792661378244,96.72676569566647,85.40796385225636,105.60151004360524,99.82116400925885,102.60000035485855,102.85069780961823,99.61068252119748,96.82847718115934,99.03009789873335,101.07361963190185,101.63006868058065,98.30508474576271,100.35714285714286,104.23387096774192
09/21,97.28213522567586,97.70181443637966,96.23771535254254,97.0863048060022,98.21805735939954,155.55555555555557,98.0356768371271,102.15806747704457,99.84940238483462,102.44456477835733,102.96686484906226,102.40386964685375,96.99872771738396,99.60586540590353,97.53659869253347,98.23844313667212,95.46122792141192,100.2893371252857,100.60849487670085,97.71609282705407,97.30317767369712,100.62516578957405,105.20185120399456,104.03308203393733,95.33677952835743,108.08655845303024,96.8537184299447,101.80634961977167,95.61929520411948,98.3390788125779,96.83385911310944,98.47944749925817,106.41488468284801,94.78498733515781,102.66861060227458,98.77078491319918,97.12178621056948,102.15934180353456,93.7139467267017,97.73654969419455,96.02564102564102,95.62824654942962,94.60300430649936,84.31543209969965,102.71224547661613,97.11716689793668,101.71186196514701,101.23272628529065,98.3528352926386,95.78026463714149,96.9579903528413,100.0,99.3340820667042,97.31638418079096,97.61904761904762,103.72983870967742
09/22,97.31327811830545,98.37132185152863,93.28910704313374,96.28605587859073,97.77872311610112,145.55555555555554,96.41254293553956,100.74559824816606,100.90724829492746,101.22498235497619,102.9612218280137,102.64826338179202,97.78539497612768,98.92023212895505,98.81369094719084,97.72001322054886,95.26501809348412,102.70526253801633,98.88243033398719,97.70348639432042,96.94377625825999,100.56728452687452,102.28033632476463,104.1386248428584,95.82141948600325,98.926169962145,96.39388087886354,101.96847089385479,95.119766162593,97.5390955541703,97.42298185240014,98.31643637358569,89.17257750653015,93.81562236315683,103.1659983286427,97.86478800216105,98.18824369914219,102.53532377471414,94.17821109339033,97.25145939606124,96.02564102564102,95.53103575319398,92.78799891924092,81.40692796051806,102.67939395305099,98.42274502107115,101.50141819456815,100.67065316027941,97.58968986502143,94.47008360101731,96.24556272771878,100.61349693251533,100.29215668720828,97.17514124293785,95.83333333333334,103.93145161290323
09/25,92.60013177304971,97.13557401832425,92.97787308623433,95.56882423547286,91.51745475228795,145.27777777777777,96.07272344033001,100.38248317301182,99.64325450154692,102.11189394819694,102.4785726060004,102.15763283454994,95.71864232804243,97.03620631835236,90.79185977944292,97.60797107008113,93.68574383954005,101.7901112440106,99.88511518389122,98.35743135738662,95.85108376701011,99.90070602843304,106.20277486038927,103.7134807672244,92.822594488017,93.66326519316101,94.85215897340493,100.80039381499562,92.64575741030775,96.38254746917848,96.95053933739595,97.58999547151804,93.3643578280127,93.05633289725529,105.65705047581031,96.67698063653984,90.88504186125576,104.50457877631155,91.88899250793435,95.74406579911738,95.25641025641025,93.96165978391464,92.44410268824143,76.53667043488241,99.99981191994404,90.22257204910298,100.58453072648692,100.6304851219979,96.65893023409383,93.49684353546695,94.59255159079632,99.69325153374233,100.62482031057036,98.0225988700565,94.04761904761905,104.23387096774192
09/26,91.90197488228472,95.62785176983436,91.38749427996387,94.14205241459807,91.04042217481397,155.27777777777777,93.93238717765205,98.16583109943764,98.40414203642322,98.88461377378515,99.25068329951938,99.92253216404535,94.85692217712959,96.0963275814424,88.52967917731166,97.12816737627536,92.34921918427594,99.91157996048473,97.54853541397792,97.1500626898887,95.51167058754369,98.49123689564627,98.86512707815247,101.61511496995317,89.7270184810707,88.4960819424455,91.92515780425417,99.95750365244778,92.1035681801074,96.33773056336578,96.45584053609029,96.38650134148547,97.72251715350693,90.89676612545561,103.9658908611305,95.76637630956117,88.62705352447765,102.88274375012416,92.78670442899836,93.41591756334321,97.56410256410255,93.66383559616153,90.7227284558405,75.04388214721338,98.22901390349065,87.86213209058641,97.24604150100123,98.91026167480425,95.3968704064706,94.87163904401477,92.21491835075165,98.92638036809815,96.04010458274148,96.89265536723164,92.97619047619048,101.51209677419355
09/27,91.92676238779735,95.89984578366759,92.27664974882508,94.93708991267387,89.19552662907377,155.0,95.53989427779,99.95288838962598,98.2027079951617,98.63276292863793,98.89331197344612,99.23501986743099,95.53299839695217,97.6310211640197,88.25376165921075,97.40626176558754,92.99829504777006,99.20924013776573,97.73754899858432,96.88676610336397,96.52157795949113,98.8663394990759,105.60708957843103,101.0385136438125,90.32643393352899,88.97866349894835,92.08013645488427,100.25818704661684,92.34881190532197,97.94676520644855,97.57596280322493,96.13123850043469,119.83422400829913,91.47339246924909,104.10596774453673,96.102761248882,88.52997921346294,103.57606924617684,95.05332786168198,93.35406742859578,96.53846153846153,95.1413655489458,92.38770227588785,75.64110690656769,98.4724033852137,87.56275796105908,97.32909658706214,98.96525468306723,96.17951099253436,94.34508471500966,92.590549496502,102.76073619631903,96.61834183037729,96.61016949152543,93.33333333333333,101.71370967741935
